prefix,k,support,dH,pred_next
1-1-3,3,61,0.792763,1
15-15-12,3,61,0.785062,15
12-4-12,3,60,0.996663,12
12-12-10,3,60,0.767192,12
15-12-15,3,60,0.686706,15
5-1-5,3,59,0.896272,5
4-4-12,3,59,0.842246,4
1-4-1,3,59,0.748136,1
1-2-1,3,59,0.717852,1
5-3-5,3,58,1.004393,5
11-11-8,3,57,0.909211,11
13-7-0,3,57,0.624755,13
6-6-10,3,56,1.359674,6
0-1-0,3,56,0.903795,0
4-12-4,3,56,0.837560,4
2-10-2,3,56,0.696396,2
1-1-2,3,55,1.243821,1
12-7-12,3,55,1.233137,12
13-9-4,3,55,0.606800,9
3-6-3,3,55,0.550333,3
5-7-15,3,55,0.504016,15
7-6-7,3,55,0.452154,7
13-4-9,3,55,0.413762,13
13-3-11,3,54,0.425006,13
1-1-0,3,53,0.804013,1
10-10-3,3,53,0.803515,10
6-15-6,3,53,0.665756,6
14-5-14,3,52,0.816747,14
7-14-15,3,52,0.415108,15
5-5-10,3,51,0.828228,5
14-0-14,3,51,0.809841,14
12-12-11,3,51,0.424687,12
1-0-1,3,50,0.595249,1
3-5-3,3,50,0.514393,3
1-1-6,3,49,0.503443,1
10-0-10,3,48,1.257868,10
1-3-1,3,48,0.749104,1
9-8-9,3,48,0.580554,9
13-9-1,3,48,0.454538,13
13-2-15,3,47,0.493855,13
13-5-14,3,46,0.730728,13
5-10-5,3,46,0.721953,5
13-2-9,3,46,0.425918,9
12-10-12,3,45,1.449808,12
7-12-7,3,45,0.791307,7
8-6-8,3,44,0.713983,8
4-1-4,3,43,1.041719,4
13-7-4,3,43,0.652593,13
4-10-4,3,43,0.549404,4
0-6-0,3,43,0.463504,0
4-4-1,3,42,1.059045,4
10-10-4,3,42,1.014038,10
4-4-10,3,42,0.794916,4
4-4-6,3,42,0.729838,4
15-15-6,3,42,0.465630,15
6-6-4,3,42,0.408849,6
8-9-8,3,41,1.123191,8
2-2-3,3,41,0.940638,2
